## [BeGaze]
## Converted from:	C:\Users\CDR\Documents\Recorded Data\Experiment Data\Nightwing_2\16-[5596da29-26a0-435b-ba9c-ee75c0bddebb]\16-2-recording.idf
## Date:	02.03.2017 14:22:22
## Version:	BeGaze 3.7.42
## IDF Version:	10
## Sample Rate:	30
## Separator Type:	Trial
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	178
## Reversed:	none
## [Run]
## Subject:	16
## Description:	Run14
## [Calibration]
## Calibration Area:	1280	960
## [Geometry]
## Stimulus Dimension [mm]:	1280	960
## Head Distance [mm]:	1450
## [Hardware Setup]
## System ID:	
## Operating System :	
## IView X Version:	
## [Filter Settings]
## Heuristics:	False
## Heuristics Stage:	0
## Bilateral:	False
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, DIAMETER, POR, MSG
##
Time	Type	Trial	L Dia X [px]	L Dia Y [px]	L Pupil Diameter [mm]	R Dia X [px]	R Dia Y [px]	R Pupil Diameter [mm]	B POR X [px]	B POR Y [px]	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	B Event Info	Stimulus
4326437719	SMP	1	105.00	98.00	4.30	100.00	100.00	3.84	758.24	308.63	557.45	323.69	823.80	346.31	Fixation	16-2-recording.avi
4326470946	SMP	1	106.00	98.00	4.28	104.00	100.00	3.86	758.01	308.04	555.33	322.00	824.01	342.06	Fixation	16-2-recording.avi
4326504672	SMP	1	107.00	98.00	4.38	104.00	100.00	3.90	758.29	304.89	556.26	319.55	823.98	340.12	Fixation	16-2-recording.avi
4326537505	SMP	1	107.00	98.00	4.38	104.00	100.00	3.90	759.13	304.41	556.00	318.72	825.79	340.23	Fixation	16-2-recording.avi
4326570766	SMP	1	107.00	98.00	4.32	104.00	102.00	3.94	757.59	301.08	553.68	315.45	825.54	338.51	Fixation	16-2-recording.avi
4326604247	SMP	1	107.00	99.00	4.38	104.00	102.00	3.96	756.83	300.27	554.33	315.26	823.44	337.08	Saccade	16-2-recording.avi
4326637427	SMP	1	107.00	101.00	4.26	106.00	104.00	3.92	648.98	351.55	470.70	366.23	708.94	376.35	Saccade	16-2-recording.avi
4326670801	SMP	1	108.00	103.00	4.30	108.00	106.00	3.98	613.13	352.05	436.10	367.48	677.26	381.54	Fixation	16-2-recording.avi
4326704258	SMP	1	107.00	102.00	4.30	106.00	106.00	3.96	613.57	352.50	432.65	367.04	681.35	380.42	Fixation	16-2-recording.avi
4326737209	SMP	1	109.00	101.00	4.36	108.00	104.00	3.98	614.63	347.55	433.36	362.59	682.47	377.43	Fixation	16-2-recording.avi
4326770586	SMP	1	109.00	103.00	4.38	108.00	106.00	3.98	612.66	345.82	429.24	360.56	682.74	376.63	Fixation	16-2-recording.avi
4326803992	SMP	1	108.00	103.00	4.36	108.00	106.00	4.00	613.29	347.06	428.11	360.90	685.01	375.66	Fixation	16-2-recording.avi
4326837199	SMP	1	107.00	102.00	4.38	106.00	104.00	3.96	613.18	345.35	426.62	359.41	686.24	377.10	Fixation	16-2-recording.avi
4326870247	SMP	1	108.00	103.00	4.40	108.00	106.00	4.00	612.29	339.28	425.36	354.32	685.76	374.10	Fixation	16-2-recording.avi
4326903530	SMP	1	108.00	101.00	4.36	108.00	104.00	3.94	609.08	341.61	421.97	355.72	683.22	372.37	Fixation	16-2-recording.avi
4326936874	SMP	1	109.00	102.00	4.40	108.00	106.00	4.00	610.93	339.66	424.83	354.73	683.85	372.48	Fixation	16-2-recording.avi
4326970200	SMP	1	109.00	93.00	4.40	108.00	88.00	3.96	611.81	343.49	424.26	353.55	685.83	356.79	Fixation	16-2-recording.avi
4327003362	SMP	1	109.00	92.00	4.38	108.00	86.00	3.94	612.44	339.01	425.83	351.50	685.49	358.88	Fixation	16-2-recording.avi
4327037102	SMP	1	108.00	101.00	4.38	108.00	104.00	3.90	610.60	339.14	424.18	353.97	683.78	371.91	Fixation	16-2-recording.avi
4327070109	SMP	1	106.00	101.00	4.38	104.00	104.00	3.96	610.83	337.73	423.59	351.98	684.73	368.12	Blink	16-2-recording.avi
4327103174	SMP	1	108.00	102.00	4.40	106.00	104.00	3.92	610.83	334.10	424.57	349.72	683.74	369.35	Blink	16-2-recording.avi
4327136651	SMP	1	108.00	101.00	4.34	108.00	104.00	3.90	616.88	348.30	436.54	363.89	683.54	382.89	Blink	16-2-recording.avi
4327169818	SMP	1	108.00	105.00	4.36	106.00	108.00	3.88	641.28	406.47	481.70	415.50	685.48	434.53	Blink	16-2-recording.avi
4327203253	SMP	1	45.00	26.00	1.90	0.00	0.00	0.00	711.42	149.70	511.78	156.01	0.00	0.00	Blink	16-2-recording.avi
4327236490	SMP	1	44.00	32.00	2.76	0.00	0.00	0.00	729.86	584.14	543.41	586.62	0.00	0.00	Blink	16-2-recording.avi
4327269543	SMP	1	54.00	42.00	3.28	0.00	0.00	0.00	705.37	569.13	518.62	572.99	0.00	0.00	Blink	16-2-recording.avi
4327303021	SMP	1	115.00	87.00	4.20	120.00	72.00	4.06	626.69	525.59	485.66	517.25	656.36	480.04	Blink	16-2-recording.avi
4327336116	SMP	1	112.00	102.00	4.36	112.00	98.00	3.96	619.08	505.22	476.68	503.20	651.67	514.18	Blink	16-2-recording.avi
4327369616	SMP	1	113.00	100.00	4.34	112.00	96.00	3.96	618.23	501.43	472.26	501.23	654.38	510.59	Blink	16-2-recording.avi
4327402705	SMP	1	113.00	95.00	4.40	114.00	84.00	3.88	618.64	497.26	469.69	497.36	657.56	487.94	Blink	16-2-recording.avi
4327436120	SMP	1	114.00	93.00	4.28	116.00	84.00	4.02	620.66	496.94	468.90	498.55	661.99	499.75	Blink	16-2-recording.avi
4327469554	SMP	1	115.00	95.00	4.40	116.00	84.00	3.90	620.48	495.09	467.91	496.25	662.52	489.47	Saccade	16-2-recording.avi
4327502715	SMP	1	116.00	84.00	4.40	118.00	64.00	4.18	574.87	503.26	433.97	503.60	613.58	507.74	Saccade	16-2-recording.avi
4327537251	SMP	1	115.00	93.00	4.42	118.00	82.00	4.18	571.47	502.86	431.44	502.88	609.56	512.19	Fixation	16-2-recording.avi
4327569078	SMP	1	114.00	93.00	4.36	116.00	82.00	4.06	569.30	505.79	428.56	505.73	609.21	501.21	Fixation	16-2-recording.avi
4327602513	SMP	1	115.00	93.00	4.38	118.00	82.00	4.08	571.18	503.82	429.10	504.13	612.09	497.91	Fixation	16-2-recording.avi
4327635606	SMP	1	117.00	97.00	4.52	118.00	84.00	4.10	573.39	500.00	431.53	500.70	613.33	499.26	Fixation	16-2-recording.avi
4327669686	SMP	1	117.00	95.00	4.46	118.00	82.00	4.04	574.77	495.94	430.68	497.54	616.47	495.98	Fixation	16-2-recording.avi
4327702186	SMP	1	117.00	95.00	4.46	118.00	82.00	4.26	574.35	500.60	431.31	501.18	614.00	519.06	Fixation	16-2-recording.avi
4327735635	SMP	1	117.00	96.00	4.52	118.00	84.00	4.16	574.07	498.43	429.59	500.17	615.98	503.72	Fixation	16-2-recording.avi
4327768849	SMP	1	116.00	96.00	4.54	116.00	82.00	3.90	577.86	500.74	430.31	500.61	623.74	480.09	Fixation	16-2-recording.avi
4327802015	SMP	1	118.00	97.00	4.56	120.00	84.00	4.14	573.20	497.58	428.51	499.47	615.52	501.58	Fixation	16-2-recording.avi
4327835491	SMP	1	118.00	97.00	4.58	120.00	84.00	4.18	574.19	496.76	429.77	498.58	616.00	501.84	Fixation	16-2-recording.avi
4327868565	SMP	1	117.00	97.00	4.56	118.00	84.00	4.12	575.96	493.37	429.84	495.79	619.17	496.39	Fixation	16-2-recording.avi
4327901866	SMP	1	118.00	87.00	4.56	120.00	64.00	4.28	576.16	493.53	429.85	496.02	618.73	509.05	Fixation	16-2-recording.avi
4327935165	SMP	1	112.00	101.00	4.52	104.00	92.00	3.84	680.53	516.37	525.20	515.87	716.92	534.35	Fixation	16-2-recording.avi
4327968587	SMP	1	116.00	96.00	4.56	110.00	88.00	4.04	843.79	559.50	689.04	540.86	845.43	562.87	Blink	16-2-recording.avi
4328001634	SMP	1	116.00	97.00	4.58	112.00	88.00	4.06	843.87	556.43	684.72	540.16	850.08	557.76	Blink	16-2-recording.avi
4328035141	SMP	1	117.00	97.00	4.58	112.00	88.00	4.06	839.60	553.12	679.64	538.06	848.00	555.62	Blink	16-2-recording.avi
4328068514	SMP	1	117.00	99.00	4.60	112.00	90.00	4.04	836.20	546.16	674.52	532.78	846.78	547.79	Blink	16-2-recording.avi
4328101508	SMP	1	60.00	53.00	4.54	0.00	0.00	0.00	836.47	549.95	674.10	536.18	846.78	547.79	Blink	16-2-recording.avi
4328134881	SMP	1	60.00	52.00	4.54	0.00	0.00	0.00	833.28	540.32	670.93	528.38	846.78	547.79	Blink	16-2-recording.avi
4328168255	SMP	1	118.00	82.00	4.54	116.00	58.00	4.30	834.06	538.59	668.60	528.13	851.15	547.01	Blink	16-2-recording.avi
4328201362	SMP	1	120.00	83.00	4.62	118.00	58.00	4.28	833.73	534.45	665.68	524.89	852.36	538.89	Blink	16-2-recording.avi
4328234587	SMP	1	61.00	55.00	4.62	0.00	0.00	0.00	862.62	553.54	708.54	532.16	852.36	538.89	Blink	16-2-recording.avi
4328267869	SMP	1	62.00	55.00	4.60	0.00	0.00	0.00	861.78	548.13	708.42	527.25	852.36	538.89	Blink	16-2-recording.avi
4328301385	SMP	1	62.00	54.00	4.60	0.00	0.00	0.00	859.26	546.43	704.78	526.73	852.36	538.89	Blink	16-2-recording.avi
4328334359	SMP	1	62.00	56.00	4.68	0.00	0.00	0.00	858.26	541.57	704.24	522.33	852.36	538.89	Blink	16-2-recording.avi
4328367655	SMP	1	118.00	102.00	4.66	114.00	92.00	4.18	869.24	537.98	704.62	524.02	876.20	544.23	Blink	16-2-recording.avi
4328400980	SMP	1	61.00	55.00	4.62	0.00	0.00	0.00	867.95	538.74	702.32	525.27	876.20	544.23	Blink	16-2-recording.avi
4328434264	SMP	1	119.00	104.00	4.64	114.00	98.00	4.14	822.65	503.14	665.75	492.79	831.18	513.46	Blink	16-2-recording.avi
4328467593	SMP	1	119.00	84.00	4.62	118.00	60.00	4.54	820.16	501.30	661.18	492.32	835.06	523.98	Blink	16-2-recording.avi
4328500786	SMP	1	119.00	81.00	4.66	116.00	52.00	4.40	820.83	495.55	657.43	488.99	836.89	505.37	Blink	16-2-recording.avi
4328534078	SMP	1	120.00	97.00	4.70	118.00	82.00	4.34	818.58	495.39	656.24	488.75	835.55	510.87	Blink	16-2-recording.avi
4328567318	SMP	1	120.00	82.00	4.72	116.00	52.00	4.70	815.76	494.17	655.12	486.51	836.16	528.19	Fixation	16-2-recording.avi
4328600576	SMP	1	121.00	95.00	4.66	118.00	82.00	4.30	817.66	496.34	652.81	490.24	834.87	502.03	Fixation	16-2-recording.avi
4328633875	SMP	1	122.00	97.00	4.76	120.00	82.00	4.34	816.55	493.66	652.10	488.06	834.88	504.27	Fixation	16-2-recording.avi
4328667195	SMP	1	121.00	96.00	4.78	118.00	80.00	4.30	816.55	492.15	652.64	486.25	832.91	498.47	Fixation	16-2-recording.avi
4328700383	SMP	1	123.00	97.00	4.80	122.00	82.00	4.40	814.19	493.11	649.92	487.76	833.33	505.53	Fixation	16-2-recording.avi
4328733597	SMP	1	122.00	105.00	4.80	118.00	96.00	4.30	813.16	494.66	649.95	488.61	829.99	502.20	Fixation	16-2-recording.avi
4328766920	SMP	1	121.00	103.00	4.76	118.00	96.00	4.34	811.12	492.95	648.85	487.19	828.90	506.34	Fixation	16-2-recording.avi
4328800244	SMP	1	123.00	88.00	4.80	120.00	62.00	4.34	814.80	495.72	650.46	489.36	829.61	493.48	Blink	16-2-recording.avi
4328833491	SMP	1	123.00	99.00	4.82	120.00	82.00	4.40	812.91	492.66	651.51	486.35	829.06	505.32	Blink	16-2-recording.avi
4328866810	SMP	1	123.00	99.00	4.78	120.00	84.00	4.36	812.03	497.29	648.62	491.00	828.64	502.04	Blink	16-2-recording.avi
4328900079	SMP	1	122.00	82.00	4.68	122.00	64.00	4.46	816.19	502.60	658.23	492.56	823.18	497.84	Blink	16-2-recording.avi
4328933370	SMP	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Blink	16-2-recording.avi
4328966658	SMP	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Blink	16-2-recording.avi
4328999999	SMP	1	112.00	68.00	3.34	116.00	54.00	2.64	761.43	183.13	706.09	563.87	717.28	-35.57	Blink	16-2-recording.avi
4329033249	SMP	1	119.00	94.00	4.52	116.00	90.00	4.06	819.78	511.93	667.91	497.62	823.21	521.33	Blink	16-2-recording.avi
4329066491	SMP	1	122.00	91.00	4.64	122.00	76.00	4.46	821.66	501.10	661.88	491.49	829.04	496.55	Blink	16-2-recording.avi
4329099735	SMP	1	122.00	97.00	4.64	122.00	84.00	4.44	820.15	504.07	658.77	495.32	831.03	503.04	Blink	16-2-recording.avi
4329133006	SMP	1	122.00	99.00	4.70	122.00	84.00	4.46	821.00	499.99	658.60	492.09	833.58	501.88	Fixation	16-2-recording.avi
4329166257	SMP	1	124.00	99.00	4.78	122.00	84.00	4.48	819.30	497.63	656.15	490.84	835.35	507.19	Fixation	16-2-recording.avi
4329199565	SMP	1	124.00	101.00	4.80	122.00	86.00	4.48	820.64	496.41	655.57	490.28	838.02	504.26	Fixation	16-2-recording.avi
4329232836	SMP	1	121.00	107.00	4.72	118.00	102.00	4.30	816.23	495.69	651.08	489.78	833.68	500.33	Saccade	16-2-recording.avi
4329266092	SMP	1	120.00	102.00	4.64	120.00	98.00	4.38	749.70	364.29	599.27	368.31	762.95	384.60	Saccade	16-2-recording.avi
4329299372	SMP	1	122.00	103.00	4.82	120.00	98.00	4.40	716.62	328.38	554.82	340.74	748.82	357.74	Saccade	16-2-recording.avi
4329332637	SMP	1	122.00	109.00	4.82	120.00	112.00	4.40	716.42	320.64	544.68	335.23	761.52	364.94	Fixation	16-2-recording.avi
4329365921	SMP	1	122.00	110.00	4.84	120.00	112.00	4.40	714.54	317.91	537.92	333.78	765.38	364.98	Fixation	16-2-recording.avi
4329399272	SMP	1	121.00	112.00	4.82	120.00	116.00	4.44	715.11	318.78	534.57	335.35	769.39	363.30	Fixation	16-2-recording.avi
4329432479	SMP	1	122.00	112.00	4.84	122.00	116.00	4.50	714.84	318.29	529.82	335.19	772.85	358.99	Fixation	16-2-recording.avi
4329465770	SMP	1	122.00	105.00	4.88	122.00	100.00	4.48	714.20	313.57	528.89	330.86	772.74	355.62	Fixation	16-2-recording.avi
4329499091	SMP	1	121.00	112.00	4.84	120.00	116.00	4.44	715.77	316.73	528.60	333.90	776.85	362.72	Fixation	16-2-recording.avi
4329532284	SMP	1	121.00	103.00	4.84	120.00	98.00	4.46	716.35	317.27	527.96	334.03	777.07	356.23	Fixation	16-2-recording.avi
4329565539	SMP	1	120.00	110.00	4.80	118.00	112.00	4.38	716.32	313.56	527.94	330.94	778.84	361.66	Fixation	16-2-recording.avi
4329598863	SMP	1	117.00	109.00	4.68	116.00	112.00	4.30	714.80	314.10	526.51	331.37	777.28	361.43	Fixation	16-2-recording.avi
4329632138	SMP	1	115.00	107.00	4.64	114.00	110.00	4.22	714.98	314.01	524.82	331.35	779.66	363.25	Fixation	16-2-recording.avi
4329665398	SMP	1	115.00	107.00	4.62	114.00	110.00	4.26	715.53	313.26	526.05	330.46	778.73	359.13	Fixation	16-2-recording.avi
4329698704	SMP	1	112.00	103.00	4.54	110.00	106.00	4.16	717.06	308.42	527.45	326.16	782.27	365.26	Fixation	16-2-recording.avi
4329732012	SMP	1	112.00	105.00	4.50	110.00	110.00	4.18	715.99	311.66	525.06	328.91	780.87	359.49	Fixation	16-2-recording.avi
4329765292	SMP	1	111.00	102.00	4.48	110.00	104.00	4.08	716.73	311.47	526.05	328.90	782.09	363.24	Fixation	16-2-recording.avi
4329798568	SMP	1	111.00	102.00	4.44	110.00	106.00	4.08	716.98	311.53	525.33	328.65	782.30	358.55	Fixation	16-2-recording.avi
4329831847	SMP	1	110.00	102.00	4.42	110.00	106.00	4.06	717.50	310.75	527.58	328.22	781.68	360.79	Fixation	16-2-recording.avi
4329865126	SMP	1	111.00	101.00	4.42	110.00	104.00	4.04	718.95	311.21	528.82	328.63	783.26	361.68	Fixation	16-2-recording.avi
4329898303	SMP	1	109.00	102.00	4.42	108.00	106.00	4.02	718.57	310.00	528.21	327.48	782.99	359.88	Fixation	16-2-recording.avi
4329931645	SMP	1	109.00	100.00	4.42	108.00	102.00	4.02	717.46	311.74	526.19	329.06	782.97	361.65	Fixation	16-2-recording.avi
4329964916	SMP	1	110.00	102.00	4.44	108.00	104.00	4.04	717.04	310.00	525.44	327.44	783.06	360.88	Fixation	16-2-recording.avi
4329998132	SMP	1	110.00	100.00	4.42	108.00	102.00	4.02	717.53	312.94	526.54	330.13	782.47	361.32	Fixation	16-2-recording.avi
4330031422	SMP	1	111.00	103.00	4.44	110.00	106.00	4.06	716.42	311.00	524.86	328.24	781.89	358.97	Fixation	16-2-recording.avi
4330064739	SMP	1	110.00	103.00	4.46	108.00	106.00	4.06	717.80	313.67	526.54	330.61	782.32	358.94	Fixation	16-2-recording.avi
4330097937	SMP	1	111.00	103.00	4.46	110.00	106.00	4.04	716.54	314.08	524.97	331.10	782.09	361.92	Fixation	16-2-recording.avi
