## [BeGaze]
## Converted from:	C:\Users\CDR\Documents\Recorded Data\Experiment Data\Nightwing_2\42-[c9b8223f-e034-4f20-ad03-1953d390e0f8]\42-1-recording.idf
## Date:	24.03.2017 15:20:00
## Version:	BeGaze 3.7.42
## IDF Version:	10
## Sample Rate:	30
## Separator Type:	Trial
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	100
## Reversed:	none
## [Run]
## Subject:	42
## Description:	Run37
## [Calibration]
## Calibration Area:	1280	960
## [Geometry]
## Stimulus Dimension [mm]:	1280	960
## Head Distance [mm]:	1450
## [Hardware Setup]
## System ID:	
## Operating System :	
## IView X Version:	
## [Filter Settings]
## Heuristics:	False
## Heuristics Stage:	0
## Bilateral:	False
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, DIAMETER, POR, MSG
##
Time	Type	Trial	L Dia X [px]	L Dia Y [px]	L Pupil Diameter [mm]	R Dia X [px]	R Dia Y [px]	R Pupil Diameter [mm]	B POR X [px]	B POR Y [px]	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	B Event Info	Stimulus
112457251	SMP	1	115.00	81.00	3.84	108.00	74.00	3.58	649.32	458.88	582.04	484.57	755.48	369.73	Fixation	42-1-recording.avi
112490489	SMP	1	114.00	80.00	3.80	108.00	74.00	3.60	648.71	457.76	581.39	482.85	754.90	370.13	Fixation	42-1-recording.avi
112523739	SMP	1	115.00	80.00	3.80	110.00	74.00	3.58	650.05	458.34	582.72	483.86	756.26	369.69	Fixation	42-1-recording.avi
112557068	SMP	1	114.00	81.00	3.80	108.00	74.00	3.58	649.47	455.72	582.19	481.32	755.65	366.82	Fixation	42-1-recording.avi
112590366	SMP	1	116.00	81.00	3.82	110.00	74.00	3.58	649.75	456.36	582.39	480.58	755.97	370.62	Fixation	42-1-recording.avi
112623622	SMP	1	113.00	81.00	3.80	108.00	74.00	3.58	637.31	456.37	567.93	482.69	745.52	369.37	Saccade	42-1-recording.avi
112656945	SMP	1	111.00	80.00	3.70	108.00	72.00	3.52	531.27	465.64	461.79	495.54	639.75	368.16	Saccade	42-1-recording.avi
112690241	SMP	1	113.00	81.00	3.76	110.00	74.00	3.58	489.20	464.48	424.00	494.56	595.46	358.55	Fixation	42-1-recording.avi
112723484	SMP	1	114.00	81.00	3.74	112.00	74.00	3.60	489.47	461.00	422.16	490.94	596.73	359.81	Fixation	42-1-recording.avi
112756748	SMP	1	113.00	80.00	3.74	110.00	74.00	3.58	488.68	459.74	419.27	490.49	598.25	356.91	Fixation	42-1-recording.avi
112790103	SMP	1	113.00	79.00	3.74	110.00	72.00	3.60	488.90	458.73	419.00	489.69	599.30	354.41	Fixation	42-1-recording.avi
112823367	SMP	1	113.00	80.00	3.76	110.00	72.00	3.58	489.02	452.69	419.96	482.64	597.36	354.57	Saccade	42-1-recording.avi
112856543	SMP	1	109.00	80.00	3.76	106.00	72.00	3.44	548.76	453.23	474.56	482.68	660.86	363.79	Saccade	42-1-recording.avi
112889949	SMP	1	116.00	82.00	3.90	110.00	76.00	3.58	643.85	461.66	581.83	482.38	744.47	374.74	Saccade	42-1-recording.avi
112923311	SMP	1	116.00	82.00	3.92	110.00	76.00	3.58	645.41	459.85	579.81	482.62	749.76	374.55	Saccade	42-1-recording.avi
112956379	SMP	1	116.00	83.00	3.96	110.00	76.00	3.60	646.85	457.02	579.78	481.31	752.77	370.84	Fixation	42-1-recording.avi
112989619	SMP	1	116.00	82.00	3.86	110.00	76.00	3.60	647.37	455.27	580.25	478.16	753.30	371.66	Fixation	42-1-recording.avi
113022962	SMP	1	115.00	82.00	3.94	110.00	76.00	3.62	647.57	454.62	580.35	477.89	753.61	370.53	Fixation	42-1-recording.avi
113056218	SMP	1	115.00	82.00	3.88	110.00	76.00	3.60	647.09	451.84	578.99	475.69	754.06	367.90	Fixation	42-1-recording.avi
113089544	SMP	1	116.00	83.00	3.98	110.00	76.00	3.58	647.82	450.20	580.25	474.55	754.26	364.48	Fixation	42-1-recording.avi
113122750	SMP	1	115.00	81.00	3.88	110.00	74.00	3.60	647.43	451.16	578.65	476.02	755.14	366.28	Fixation	42-1-recording.avi
113156051	SMP	1	114.00	83.00	3.96	108.00	76.00	3.60	647.81	452.34	579.43	477.25	755.10	366.76	Fixation	42-1-recording.avi
